subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,UPPS.lack_of_perseverance,UPPS.lack_of_premeditation,UPPS.negative_urgency,UPPS.positive_urgency,UPPS.sensation_seeking,spatial.forward_span,spatial.reverse_span,digit.forward_span,digit.reverse_span,SSS.boredom_susceptibility,SSS.disinhibition,SSS.experience_seeking,SSS.thrill_adventure_seeking,Dickman.dysfunctional,Dickman.functional
s309,1.7079458861451984,-0.9985657133169615,1.5931284434783943,3.3916365284702827,-0.8785212670047866,-0.28523630308895476,-1.1501549578863721,-0.5832293301231279,1.7946509926674823,1.9775184689856187,-0.8522750518697102,0.19126330607957132,1.1755443682233546,-0.7297061466791194,2.274752060470011,1.4868528292815677,1.9147650253361657,-0.561056905097761,0.12365701146459376
s313,1.2324775672514712,2.3793831635061307,1.1949572104256385,0.9728410906527278,-1.2352401520303833,-1.2052573646374352,-1.6898632068375463,-1.0618956328904041,-0.0899612647137536,-1.882813590197842,-1.0832864475080795,-2.6046754961701044,-1.5846623930305719,0.6592827608599848,-1.6498620472085672,0.5568173552232512,-0.6703246211034856,-0.561056905097761,-0.7382230617294657
s314,0.7788419772879707,1.0851999637948977,0.502324460838963,2.7518261223374383,0.013275945559205396,0.45078054598790523,-0.20566552201942603,0.4937698512288939,-0.4433260629815694,1.1058305846538703,0.3027819263221344,-1.1585002536271685,-0.06654867434091218,-0.7297061466791194,-0.4724778149049939,-0.8382358562827399,-0.024052209493572698,-0.561056905097761,-0.7382230617294657
s316,-0.38557023224649967,-0.18545263228522202,0.5912185035668548,2.1931624018616356,0.013275945559205396,0.6347847582571206,-1.1501549578863721,-1.0618956328904041,-0.20774953075591043,-0.26396466215316494,0.07177053068376528,0.2876749889157667,-0.06654867434091218,-0.2667098441660847,0.70490641739858,1.021835092252409,-0.024052209493572698,-0.561056905097761,0.9855370849746752
s317,1.9553834806712733,1.5009072946112332,0.7949340181501253,0.9572359587964685,0.19163538807200356,2.106818456613246,-1.0152278955271439,-0.9422290572404682,-0.9144791272915417,0.4831963815597637,-1.0832864475080795,-1.1585002536271685,-0.5495848575603495,-0.7297061466791194,-0.08001640413713598,-0.37321811925358145,-1.3165970327133982,0.3167485820746588,0.41095036951196984
s323,-0.6184526741533938,-1.2103411459969815,-0.5866275625777114,-1.5645533492765171,-0.7001618244919885,-0.65324472782979,-0.7453737711325131,-0.8225624814229993,0.02782700132840324,-1.1356525464849143,-1.3142978431464485,-0.19438342526521113,0.692508185003918,-0.7297061466791194,0.3124450066307217,-0.37321811925358145,0.9453564079212966,-0.561056905097761,-1.0255164194608184
s324,0.4246665968869324,-0.933202925452235,-0.6347785023893935,-0.7437234136032006,-1.0568807095175852,-0.4692405155605748,-0.6104467087732849,-1.0618956328904041,0.4989800657797218,-1.5092330683413782,-0.6212636562313422,-0.0015600595928194855,-0.6875951956230453,0.6592827608599848,-0.8649392256728516,-1.303253593311898,-0.3471884152985292,1.633456812569946,0.9855370849746752
s325,-0.9289625966968894,-1.071772035723824,0.10600518700896401,-0.5627038840646011,-0.5218023819791899,-0.65324472782979,-0.47551964657596957,-0.7028959057730634,0.02782700132840324,-0.5130183433908078,-1.0832864475080795,-1.1585002536271685,-1.1706313788424825,-0.7297061466791194,-0.4724778149049939,-0.8382358562827399,0.6222202021163403,0.3167485820746588,0.6982437272433225
s327,-0.4704752891926917,0.9544743880654446,-0.8681253645501095,-3.6400358862413884,-1.0568807095175852,-0.28523630308895476,0.1991156647344325,0.8527695783462346,0.8523448640475376,-0.6375451840096287,-1.6608149366040017,-1.2549119364633647,-1.1016262098111347,0.6592827608599848,0.70490641739858,1.021835092252409,-0.024052209493572698,-0.12215416177489333,0.9855370849746752
s328,0.37129770395090606,1.3257350231346443,-0.3532807004169955,0.3018204208073647,-0.7001618244919885,0.26677633371869036,-1.1501549578863721,-0.7028959057730634,1.2057096623153527,0.10961585970329883,1.6888503001523472,-0.8692652051185814,2.1416167346622292,-1.1927024491921543,-1.2574006364407093,0.09179961819409276,-0.024052209493572698,-0.12215416177489333,1.2728304427060286
s330,0.0001413121617936457,-0.16192202865410868,-0.02363195863513749,-0.35047409080973835,-0.7001618244919885,-0.28523630308895476,-0.6104467087732849,-0.4635627544731921,-0.6789025952072286,0.10961585970329883,1.457838904513979,0.4804983545881592,1.2445495372547026,2.048271668399089,0.3124450066307217,-0.8382358562827399,-0.6703246211034856,-0.12215416177489333,-0.16363634626675963
s334,0.4246665968869324,2.5310248313500376,-0.2532749023481172,0.6825856381146961,0.013275945559205396,0.45078054598790523,-0.7453737711325131,-0.9422290572404682,0.7345565978640348,-0.7620720246284496,-0.2747465627737879,0.09485162324337591,-0.20455901240360863,-0.7297061466791194,-0.4724778149049939,-0.37321811925358145,0.9453564079212966,-0.12215416177489333,0.6982437272433225
s335,0.38585285657008694,-0.42860220314005976,-0.8903488752320824,0.2019475769239349,1.9752298131999877,3.0268395179593224,2.4928757228983582,2.169101910998128,1.7946509926674823,0.3586695409409417,-0.043735167135419806,0.9625567687691379,1.5205702133800953,2.5112679709121237,1.882290649702153,1.4868528292815677,1.5916288195312092,4.26687327356052,0.6982437272433225
s336,-0.8149472345123356,0.2747013942782491,-0.2162357178796437,-0.2069068777276591,0.9050731581231971,0.6347847582571206,0.3340427269317482,0.7331030025287651,-0.0899612647137536,0.8567769034162275,0.18727622850294934,-1.5441469849719518,-2.7577502665634905,-0.7297061466791194,-0.8649392256728516,-1.303253593311898,-0.993460826908442,0.7556513253975264,-0.16363634626675963
